Incident_ID,Age,Gender,Race,School_Affiliation,Shooter_Outcome,Shooter_Died,Injury
19781017MOUNU,Teen,Male,White,Former Student,Fled/Escaped,false,None
19781017ALLAL,13,Male,White,Student,Fled/Apprehended,false,None
19780610MAWEW,17,Male,,Student,Attempted Suicide,false,Wounded
19780607DEDOD,17,Male,,Student,,false,None
19780519PADOP,,,,,Fled/Escaped,false,None
19780518TXMUA,13,Male,White,Student,Fled/Apprehended,false,None
19780428ILRIN,Teen,Male,,Student,,false,None
19780426TXPAD,56,Female,,Relative,Surrendered,false,None
19780414MIFOD,16,Male,,Student,,false,None
19780329TNGAN,Adult,Male,Black,Other Staff,Surrendered,false,None
19780309CAMOS,14,Male,,No Relation,Surrendered,false,None
19780222MIEVL,15,Male,White,Student,Surrendered,false,None
19780209WVHAS,15,Male,White,Student,Fled/Apprehended,false,None
19780111KYCHH,16,Male,,Student,Subdued by Students/Staff/Other,false,None
19771215MABLC,,Male,,,Fled/Escaped,false,None
19771212FLWEW,41,Male,,Other Staff,Surrendered,false,None
19771209CAPES,40,Male,,Intimate Relationship,Subdued by Students/Staff/Other,false,None
19771129MOVAS,18,Male,,Student,,false,None
19771129MOHAS,19,Male,,Former Student,Apprehended/Killed by LE,false,None
19770711COSOC,15,,,Student,Fled/Escaped,false,None
19770622ILHOC,Teen,,,,Fled/Escaped,false,None
19770517FLSTC,22,Male,,No Relation,Fled/Apprehended,false,None
19770418TNPIN,46,Male,,,Fled/Apprehended,false,None
19770407TXWHW,17,Male,,Student,,false,None
19770321NYPAH,18,Male,,Other Staff,Apprehended/Killed by LE,false,None
19770308ILCOE,16,Male,,Student,Fled/Apprehended,false,None
19770228TXHOA,15,Male,,Student,,false,None
19770228MOROS,19,Male,,Student,,false,None
19770209ILFEC,14,Male,,Student,Fled/Apprehended,false,None
19770113ILOLB,15,Male,,Student,Subdued by Students/Staff/Other,false,None
19761210MOFRS,11,Male,,Student,Surrendered,false,None
19761110MIBUD,46,Male,,Intimate Relationship,Fled/Apprehended,false,None
19760920NCGUG,38,Male,,No Relation,Suicide,true,Suicide
19760602MDMTC,,,,,Fled/Escaped,false,None
19760514FLPAW,17,Male,,Former Student,Apprehended/Killed by LE,false,None
19760513MOMAS,15,Male,,Student,Subdued by Students/Staff/Other,false,None
19760412TXODF,15,Male,,Student,Fled/Apprehended,false,None
19760212MIMUD,Teen,Male,,Other Student,Fled/Escaped,false,None
19760212MIMUD,Teen,Male,,Other Student,Fled/Escaped,false,None
19760212MIMUD,Teen,Male,,Other Student,Fled/Escaped,false,None
19760212MIMUD,Teen,Male,,Other Student,Fled/Escaped,false,None
19760212MIMUD,Teen,Male,,Other Student,Fled/Escaped,false,None
19760212MIMUD,Teen,Male,,Other Student,Fled/Escaped,false,None
19760206FLESP,,,,,Fled/Escaped,false,None
19760123OHCOC,17,Male,,Student,Fled/Apprehended,false,None
19760101AZCAP,,,,,Fled/Escaped,false,None
19751218CAORS,16,Male,,Student,Fled/Escaped,false,None
19751024GAMUA,15,Male,,Student,Fled/Apprehended,false,None
19751001NMHEA,35,Male,,,Surrendered,false,None
19750911OKGRO,15,Male,White,Student,,false,None
19750711MOCES,18,Male,,Student,Fled/Apprehended,false,None
19750709ILDEC,Adult,Male,Black,Intimate Relationship,Fled/Apprehended,false,None
19750527MIPID,9,Male,,Student,Fled/Apprehended,false,None
19750515MOROS,13,Male,,Student,Fled/Apprehended,false,None
19750321VAFAR,18,Male,,No Relation,Other,false,None
19750321OHPAD,15,Male,,No Relation,Fled/Escaped,false,None
19750318MOSUS,19,Male,,,Fled/Apprehended,false,None
19750312TXJOH,Teen,,,Student,Fled/Escaped,false,None
19750224NJSTP,24,Male,,Former Student,Fled/Apprehended,false,None
19750207NYBOM,16,Male,,Student,Attempted Suicide,false,Wounded
19741230NYOLO,17,Male,White,Student,Apprehended/Killed by LE,false,None
19741218CAMAL,17,Male,,No Relation,Fled/Escaped,false,None
19741125SCCAC,Teen,Male,,Student,Fled/Escaped,false,None
19741125SCCAC,Teen,Male,,Student,Fled/Escaped,false,None
19741121ARBOL,15,Male,,Student,Surrendered,false,None
19741118SCCAC,,Male,,No Relation,Fled/Escaped,false,None
19741021MDDOB,15,Male,,No Relation,Fled/Apprehended,false,None
19741007LADEH,17,Male,Black,Student,Apprehended/Killed by LE,false,None
19740925CASAL,17,Male,,Student,Fled/Apprehended,false,None
